genus,species,gbif_name,accepted_name,notes,gbif_count,gbif_date,include
Pseudocymopterus,montanus,Pseudocymopterus montanus,Pseudocymopterus montanus,,558,2022-05-18,TRUE
Ptelea,crenulata,Ptelea crenulata,Ptelea crenulata,,498,2022-05-18,TRUE
Ptelea,trifoliata,Ptelea trifoliata,Ptelea trifoliata,Includes P. baldwinii,5588,2022-05-18,TRUE
Pteryxia,hendersonii,Pteryxia hendersonii,Pteryxia hendersonii,,138,2022-05-18,TRUE
Pteryxia,petraea,Pteryxia petraea,Pteryxia petraea,,247,2022-05-18,TRUE
Pteryxia,terebinthina,Pteryxia terebinthina,Pteryxia terebinthina,,605,2022-05-18,TRUE
Ptilimnium,capillaceum,Ptilimnium capillaceum,Ptilimnium capillaceum,,1013,2022-05-18,TRUE
Rhamnus,californica,Rhamnus californica,Frangula californica,,667,2022-05-18,TRUE
Ridolfia,segetum,Ridolfia segetum,Ridolfia segetum,Mediterranean species,0,2022-05-18,FALSE
Ruta,angustifolia,Ruta angustifolia,Ruta angustifolia,Mediterranean species,0,2022-05-18,FALSE
Ruta,chalepensis,Ruta chalepensis,Ruta chalepensis,,305,2022-05-18,TRUE
Ruta,graveolens,Ruta graveolens,Ruta graveolens,,279,2022-05-18,TRUE
Salix,babylonica,Salix babylonica,Salix babylonica,,1052,2022-05-18,TRUE
Salix,exigua,Salix exigua,Salix exigua,,6627,2022-05-18,TRUE
Salix,hookeriana,Salix hookeriana,Salix hookeriana,,339,2022-05-18,TRUE
Salix,lasiandra,Salix lasiandra,Salix lasiandra,,930,2022-05-18,TRUE
Salix,lasiolepis,Salix lasiolepis,Salix lasiolepis,,6032,2022-05-18,TRUE
Salix,scouleriana,Salix scouleriana,Salix scouleriana,,3296,2022-05-18,TRUE
Sassafras,albidum,Sassafras albidum,Sassafras albidum,,22040,2022-05-18,TRUE
Seseli,libanotis,Seseli libanotis,Seseli libanotis,Eurasian species,3,2022-05-18,FALSE
Seseli,varium,Seseli varium,Seseli varium,Mediterranean species,0,2022-05-18,FALSE
Silaum,silaus,Silaum silaus,Silaum silaus,European species,2,2022-05-18,FALSE
Sium,suave,Sium suave,Sium suave,,2895,2022-05-18,TRUE
Selinum,carvifolia,Selinum carvifolia,Selinum carvifolia,Eurasian species,0,2022-05-18,FALSE
Sorbus,americana,Sorbus americana,Sorbus americana,,2237,2022-05-18,TRUE
Spermolepis,divaricata,Spermolepis divaricata,Spermolepis divaricata,,236,2022-05-18,TRUE
Sphenosciadium,capitellatum,Sphenosciadium capitellatum,Sphenosciadium capitellatum,,373,2022-05-18,TRUE
Syringa,vulgaris,Syringa vulgaris,Syringa vulgaris,,9596,2022-05-18,TRUE
Taenidia,integerrima,Taenidia integerrima,Taenidia integerrima,,1311,2022-05-18,TRUE
Tauschia,arguta,Tauschia arguta,Tauschia arguta,,900,2022-05-18,TRUE
Tauschia,parishii,Tauschia parishii,Tauschia parishii,,435,2022-05-18,TRUE
Thamnosma,montana,Thamnosma montana,Thamnosma montana,,2042,2022-05-18,TRUE
Thamnosma,texana,Thamnosma texana,Thamnosma texana,,816,2022-05-18,TRUE
Thaspium,barbinode,Thaspium barbinode,Thaspium barbinode,,757,2022-05-18,TRUE
Tilia,americana,Tilia americana,Tilia americana,,32363,2022-05-18,TRUE
Trinia,glauca,Trinia glauca,Trinia glauca,Eurasian species,0,2022-05-18,FALSE
Vauquelinia,californica,Vauquelinia californica,Vauquelinia californica,,388,2022-05-18,TRUE
Zanthoxylum,americanum,Zanthoxylum americanum,Zanthoxylum americanum,,3048,2022-05-18,TRUE
Zanthoxylum,clava-herculis,Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,,3682,2022-05-18,TRUE
Zanthoxylum,fagara,Zanthoxylum fagara,Zanthoxylum fagara,,1951,2022-05-18,TRUE
Zizia,aptera,Zizia aptera,Zizia aptera,,1510,2022-05-18,TRUE
Zizia,aurea,Zizia aurea,Zizia aurea,,6061,2022-05-18,TRUE
