"plant","sdm","tune.args","fold","AUC","CBI","IMAE","thr.mss","OR.mss","TSS.mss"
"Sassafras albidum","LASSO","lambda.1se",1,0.653618238220039,0.883,0.585283039340697,0.29002854,0.318118948824343,0.279792278329704
"Sassafras albidum","LASSO","lambda.1se",2,0.6438039053502,0.991,0.567155112766019,0.703225,0.434797647872708,0.18933343455033
"Sassafras albidum","LASSO","lambda.1se",3,0.71493676018702,0.996,0.560790430094376,0.40343506,0.243084370677732,0.296052425225707
"Sassafras albidum","LASSO","lambda.1se",4,0.760309699645343,0.947,0.619197721060015,0.39785392,0.144240747146316,0.417838174894107
"Sassafras albidum","MAXENT","fc.L_rm.1",1,0.540375286755183,0.676,0.585269506752045,0.6017722,0.0650069156293223,0.0848795340300268
"Sassafras albidum","MAXENT","fc.L_rm.1",2,0.664405380268146,0.212,0.568198935056144,0.58492165,0.294117647058823,0.332306043146188
"Sassafras albidum","MAXENT","fc.L_rm.1",3,0.699416319133985,0.666,0.696146114807625,0.70062701,0.445520581113801,0.46642910442079
"Sassafras albidum","MAXENT","fc.L_rm.1",4,0.360348598876773,-0.681,0.51261198303347,0.75637331,0.99584918713248,0.00091456691282743
"Sassafras albidum","RF","mtry = 3",1,0.616401876691358,0.987,0.521742012667136,0.551,0.610650069156293,0.177861680190965
"Sassafras albidum","RF","mtry = 3",2,0.670441980505194,0.961,0.546526401630989,0.497,0.219993081978554,0.242271068964842
"Sassafras albidum","RF","mtry = 3",3,0.665449791620503,0.978,0.552009420547458,0.49,0.31984785615491,0.258791500099662
"Sassafras albidum","RF","mtry = 3",4,0.771857768408745,0.781,0.556295165394402,0.407,0.122103078519543,0.476549472009812
