"insect","sdm","tune.args","fold","AUC","CBI","IMAE","thr.mss","OR.mss","TSS.mss"
"Papilio multicaudata","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio multicaudata","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio palamedes","BRT","tree.1975_node.5_lr.0.01",1,0.749017530826833,0.102,0.741113721011046,0.07743738,0.0467091295116773,0.488568048314097
"Papilio palamedes","BRT","tree.1975_node.5_lr.0.01",2,0.560824959299388,0.67,0.538031397171798,0.3205432,0.251063829787234,0.120967832481895
"Papilio palamedes","BRT","tree.1975_node.5_lr.0.01",3,0.676635547656518,0.942,0.786585880237431,0.29499863,0.581740976645435,0.310114050634378
"Papilio palamedes","BRT","tree.1975_node.5_lr.0.01",4,0.816477381636956,0.861,0.742313722625284,0.09825419,0.157446808510638,0.511472110408281
"Papilio palamedes","GAM",NA,1,0.801186605708486,0.74,0.775854623780087,0.11288874,0.140127388535032,0.47038377057224
"Papilio palamedes","GAM",NA,2,0.620433110649526,0.912,0.597276901198119,0.38148808,0.35531914893617,0.239667658451693
"Papilio palamedes","GAM",NA,3,0.86325093952768,0.985,0.859960703816041,0.08045484,0.0976645435244161,0.572054864113932
"Papilio palamedes","GAM",NA,4,0.844852565331289,0.941,0.766027381591602,0.16751343,0.208510638297872,0.529477349690116
"Papilio palamedes","LASSO","lambda.1se",1,0.733032822342365,0.485,0.65299185530059,0.27231114,0.0467091295116773,0.510526291654629
"Papilio palamedes","LASSO","lambda.1se",2,0.624250547353057,0.494,0.53833977460325,0.59263661,0.28936170212766,0.225150171223264
"Papilio palamedes","LASSO","lambda.1se",3,0.843625939734533,0.942,0.780482526712181,0.19689301,0.0934182590233545,0.524469504031984
"Papilio palamedes","LASSO","lambda.1se",4,0.782433231103444,0.871,0.586918925186368,0.4647349,0.106382978723404,0.400373778033353
"Papilio palamedes","MAXENT","fc.L_rm.1",1,0.654679376083189,0.76,0.496421493499099,0.67312247,0.312765957446808,0.317216711530661
"Papilio palamedes","MAXENT","fc.L_rm.1",2,0.433060845057953,-0.353,0.57911966716343,0.63046399,0,0.0034602076124568
"Papilio palamedes","MAXENT","fc.L_rm.1",3,0.713417247786325,0.821,0.594917527018576,0.44465597,0.295116772823779,0.400013027648222
"Papilio palamedes","MAXENT","fc.L_rm.1",4,0.766820111566372,0.924,0.571279909136647,0.44656072,0.0680851063829787,0.415673594313077
"Papilio palamedes","RF","mtry = 3",1,0.780162300391765,0.948,0.628932902431517,0.421,0.248407643312102,0.443457007515832
"Papilio palamedes","RF","mtry = 3",2,0.60793521585359,0.71,0.50971661237785,0.541,0.3,0.24089709762533
"Papilio palamedes","RF","mtry = 3",3,0.699585921068091,0.965,0.61381652686061,0.46,0.522292993630573,0.390801316579871
"Papilio palamedes","RF","mtry = 3",4,0.81087710050476,0.944,0.726372364039956,0.202,0.157446808510638,0.511472110408281
"Papilio polyxenes","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","GAM",NA,2,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","GAM",NA,3,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","GAM",NA,4,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","LASSO",NA,1,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","LASSO",NA,2,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","LASSO",NA,3,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","LASSO",NA,4,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","MAXENT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","MAXENT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","MAXENT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","MAXENT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","RF",NA,1,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","RF",NA,2,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","RF",NA,3,NA,NA,NA,NA,NA,NA
"Papilio polyxenes","RF",NA,4,NA,NA,NA,NA,NA,NA
"Papilio rumiko","BRT",NA,1,NA,NA,NA,NA,NA,NA
"Papilio rumiko","BRT",NA,2,NA,NA,NA,NA,NA,NA
"Papilio rumiko","BRT",NA,3,NA,NA,NA,NA,NA,NA
"Papilio rumiko","BRT",NA,4,NA,NA,NA,NA,NA,NA
"Papilio rumiko","GAM",NA,1,NA,NA,NA,NA,NA,NA
"Papilio rumiko","GAM",NA,2,NA,NA,NA,NA,NA,NA
