"species","clim_model","ncells","sdm0","sdm1","sdm2","sdm3","sdm4","sdm5"
"Betula papyrifera","ensemble_ssp245_2041",919996,65.7,11.4,8.8,6.7,4.3,3
"Betula papyrifera","ensemble_ssp245_2071",1280097,67.2,12.3,8.7,5.3,3.5,3
"Betula papyrifera","ensemble_ssp370_2041",919996,62.2,12.2,10.4,6.8,4.8,3.5
"Betula papyrifera","ensemble_ssp370_2071",1280097,53.7,14.9,13.2,7.4,5.2,5.5
"Fraxinus americana","current",230785,63.5,8.9,5.6,5.6,5.6,10.8
"Fraxinus americana","ensemble_ssp245_2041",345703,22.9,15.9,20.3,14.5,22.2,4.2
"Fraxinus americana","ensemble_ssp245_2071",572633,33.2,19.2,13.9,13.3,16.3,4.2
"Fraxinus americana","ensemble_ssp370_2041",345703,18.5,13.9,19.9,17.3,24.4,6
"Fraxinus americana","ensemble_ssp370_2071",572633,21.9,14.6,11.7,18.4,24.1,9.4
"Fraxinus pennsylvanica","current",580631,61.9,7.3,6.2,7.1,7.5,10.1
"Fraxinus pennsylvanica","ensemble_ssp245_2041",772468,29,16.4,10.3,12.6,18.8,13
"Fraxinus pennsylvanica","ensemble_ssp245_2071",1020734,33.2,17,8.6,10.2,18.5,12.5
"Fraxinus pennsylvanica","ensemble_ssp370_2041",772468,26.7,15.1,10.2,12.5,21.1,14.4
"Fraxinus pennsylvanica","ensemble_ssp370_2071",1020734,23.7,17.5,8.6,9.9,19.6,20.8
"Malus domestica","current",961350,85.6,7.3,2.4,2.1,1.2,1.3
"Malus domestica","ensemble_ssp245_2041",1085238,72.1,11,7.3,5.1,3.2,1.3
"Malus domestica","ensemble_ssp245_2071",1308221,72.6,10.5,7.5,5,3.4,1.1
"Malus domestica","ensemble_ssp370_2041",1085238,70.8,11.3,7.5,5.4,3.6,1.3
"Malus domestica","ensemble_ssp370_2071",1308221,59.5,16.6,11.7,6.5,4.4,1.2
"Populus balsamifera","current",1118048,72.8,6.6,4.7,3.8,4,8.2
"Populus balsamifera","ensemble_ssp245_2041",1296733,60.6,14.2,16.8,4.7,1.9,1.8
"Populus balsamifera","ensemble_ssp245_2071",1471800,59.1,14.2,18.6,4.2,2.1,1.8
"Populus balsamifera","ensemble_ssp370_2041",1296733,58.2,14.1,18.4,5,2.4,2
"Populus balsamifera","ensemble_ssp370_2071",1471800,50.7,13,25.1,6,2.9,2.2
