"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host"
"Papilio troilus","insect + host","ssp245_2041",227585,46.98,26.27,-66.13,-95.31,43.54,38.9,-80.94,-86.31,124358,437616,103226,97,153,-151,0,NA,24.08
"Papilio troilus","insect + host","ssp245_2071",279408,47.81,26.4,-63.85,-90.33,45.77,39.9,-74.85,-85.98,190320,451754,89088,194,130,-128,-23,NA,20.65
"Papilio troilus","insect + host","ssp370_2041",208337,46.94,26.31,-65.98,-95.23,44.27,39.44,-80.94,-86.35,116039,448544,92298,120,171,-129,0,NA,21.67
"Papilio troilus","insect + host","ssp370_2071",231730,49.06,27.77,-64.23,-89.46,46.35,41.73,-74.15,-85.37,180768,489880,50963,370,562,-15,179,NA,29.46
"Papilio zelicaon","total insect","current",683346,52.4,30.58,-105.37,-126,50.42,37.56,-112.56,-123.98,NA,NA,NA,NA,NA,NA,NA,93.54,NA
"Papilio zelicaon","total insect","ssp245_2041",541150,50.54,31.62,-105.27,-125.08,48.58,40.15,-112.77,-123.81,238929,381126,302221,-130,9,-23,3,94.66,NA
"Papilio zelicaon","total insect","ssp245_2071",539249,50.56,31.56,-105.31,-125.17,48.73,40.77,-113.08,-123.81,226859,370957,312389,-139,37,-28,3,99.28,NA
"Papilio zelicaon","total insect","ssp370_2041",542827,50.58,31.62,-105.31,-125.31,48.67,40.77,-114.44,-123.77,227505,368024,315322,-148,23,-51,3,94.85,NA
"Papilio zelicaon","total insect","ssp370_2071",533066,58.92,31.56,-105.35,-132.87,49.23,40.73,-116.56,-123.98,207028,357309,326038,-111,5,-167,3,99.68,NA
"Papilio zelicaon","insect + host","current",639203,51.73,30.58,-105.37,-125.67,50.02,37.56,-112.1,-123.9,NA,NA,NA,NA,NA,NA,NA,NA,12.48
"Papilio zelicaon","insect + host","ssp245_2041",512270,50.52,31.62,-105.27,-125.06,48.69,39.98,-113.56,-123.81,218695,345629,293574,-130,5,-47,3,NA,7.51
"Papilio zelicaon","insect + host","ssp245_2071",535382,50.56,31.56,-105.31,-125.17,48.77,40.19,-113.98,-123.81,227226,331048,308156,-134,23,-63,3,NA,5.73
"Papilio zelicaon","insect + host","ssp370_2041",514861,50.58,31.62,-105.31,-125.31,48.73,40.23,-115.94,-123.77,211758,336100,303103,-139,14,-93,3,NA,6.41
"Papilio zelicaon","insect + host","ssp370_2071",531340,58.92,31.56,-105.35,-132.87,49.27,40.65,-116.44,-123.94,213502,321366,317838,-88,5,-178,3,NA,3.07
