"insect","distribution","climate","area","lat_max","lat_min","lon_max","lon_min","lat_max_bands","lat_min_bands","lon_max_bands","lon_min_bands","area_gained","area_lost","area_retained","lat_max_shift","lat_min_shift","lon_max_shift","lon_min_shift","pinsect_withhost","pinsecthost_1host","phost_insect"
"Papilio machaon","total insect","ssp245_2041",1060815,69.35,30.79,-70.67,-168.94,61.15,59.23,-110.65,-121.44,385186,974498,675629,-339,23,-149,-3,69.0169,NA,NA
"Papilio machaon","total insect","ssp245_2071",1025149,71.27,30.98,-75.81,-168.94,61.38,59.77,-111.23,-121.81,388281,1013259,636868,-325,42,-147,-4,69.3046,NA,NA
"Papilio machaon","total insect","ssp370_2041",1058547,71.08,30.96,-70.75,-168.94,61.35,59.25,-110.73,-121.73,384247,975827,674300,-353,28,-131,-4,70.2635,NA,NA
"Papilio machaon","total insect","ssp370_2071",1003233,71.27,31.69,-76.31,-168.94,62.1,59.98,-110.54,-121.42,399136,1046030,604097,-213,84,-134,-6,71.565,NA,NA
"Papilio machaon","total insect","ssp585_2041",993121,71.27,30.9,-70.46,-168.94,61.6,59.85,-110.44,-121.4,369298,1026305,623822,-260,65,-110,-4,70.1658,NA,NA
"Papilio machaon","total insect","ssp585_2071",963416,73.25,31.69,-76.52,-168.94,63.98,60.31,-110.38,-121.35,401574,1088286,561841,0,153,-75,-4,65.2857,NA,NA
"Papilio machaon","insect + host","current",941685,69.65,30.73,-95.56,-168.96,60.31,57.9,-111.73,-121.48,NA,NA,NA,NA,NA,NA,NA,NA,51.8034,NA
"Papilio machaon","insect + host","ssp245_2041",732142,63.29,30.79,-105.23,-168.94,54.19,53.44,-112.23,-121.15,418891,628434,313251,-366,23,-160,-8,NA,44.9136,NA
"Papilio machaon","insect + host","ssp245_2071",710475,71.27,30.98,-105.35,-168.94,54.44,53.81,-112.52,-121.23,411009,642219,299465,-385,37,-160,-10,NA,49.262,NA
"Papilio machaon","insect + host","ssp370_2041",743772,63.31,30.96,-105.25,-168.94,54.02,53.48,-112.19,-121.23,425981,623894,317791,-371,23,-132,-10,NA,47.4321,NA
"Papilio machaon","insect + host","ssp370_2071",717964,71.27,31.69,-77.81,-167.31,52.4,51.94,-111.94,-120.98,443652,667373,274312,-348,93,-136,-13,NA,63.7563,NA
"Papilio machaon","insect + host","ssp585_2041",696831,71.27,30.9,-105.31,-168.94,51.81,41.65,-111.65,-120.98,410247,655100,286584,-361,56,-137,-11,NA,51.7965,NA
"Papilio machaon","insect + host","ssp585_2071",628973,71.27,31.69,-77.23,-167.23,52.31,51.81,-111.27,-120.94,393983,706695,234990,-316,111,-101,-13,NA,62.763,NA
"Papilio multicaudata","total insect","current",1008152,52.25,16.02,-95.75,-123.48,45.77,31.48,-104.19,-113.98,NA,NA,NA,NA,NA,NA,NA,69.6017,NA,NA
"Papilio multicaudata","total insect","ssp245_2041",1698335,52.1,16.06,-94,-123.06,46.1,30.9,-102.81,-117.02,984600,294417,713735,-5,0,0,0,76.9759,NA,NA
"Papilio multicaudata","total insect","ssp245_2071",1609516,52.5,16.06,-95.9,-123.19,46.44,31.06,-103.48,-118.31,933215,331851,676301,0,5,0,0,77.9312,NA,NA
"Papilio multicaudata","total insect","ssp370_2041",1666911,52.17,16.06,-92.19,-123.1,46.31,30.77,-102.85,-118.1,957436,298677,709475,-5,0,0,0,76.8139,NA,NA
"Papilio multicaudata","total insect","ssp370_2071",1470224,52.17,16.15,-96.15,-123.1,46.06,31.73,-104.06,-118.35,896602,434529,573623,-19,32,-4,3,78.1835,NA,NA
"Papilio multicaudata","total insect","ssp585_2041",1626686,51.79,16.06,-95.81,-123.08,46.1,30.94,-103.1,-118.19,946966,328432,679719,-14,5,0,0,77.0149,NA,NA
"Papilio multicaudata","total insect","ssp585_2071",1363836,52.33,16.19,-96.23,-123.23,46.48,32.98,-104.69,-118.35,867731,512047,496105,-14,129,-9,3,79.4476,NA,NA
"Papilio multicaudata","insect + host","current",701691,52.25,16.31,-96.02,-123.4,42.56,32.44,-104.52,-114.19,NA,NA,NA,NA,NA,NA,NA,NA,53.1435,NA
"Papilio multicaudata","insect + host","ssp245_2041",1307309,52.1,16.27,-96.06,-123.06,46.15,31.02,-104.27,-118.23,881473,275855,425837,0,0,8,-3,NA,22.3998,NA
"Papilio multicaudata","insect + host","ssp245_2071",1254316,52.5,16.27,-96.1,-123.19,46.56,31.52,-104.4,-118.48,851309,298685,403006,0,5,4,0,NA,20.4028,NA
"Papilio multicaudata","insect + host","ssp370_2041",1280419,52.17,16.27,-96.06,-123.1,46.54,31.08,-104.31,-118.35,852264,273536,428155,0,0,4,-3,NA,21.9023,NA
"Papilio multicaudata","insect + host","ssp370_2071",1149473,52.17,16.85,-96.35,-123.1,46.56,33.98,-105.52,-118.94,804969,357187,344504,0,67,0,-3,NA,18.6942,NA
"Papilio multicaudata","insect + host","ssp585_2041",1252791,51.79,16.15,-96.08,-123.08,46.15,31.56,-104.23,-118.35,851103,300003,401688,-5,5,4,0,NA,21.1335,NA
"Papilio multicaudata","insect + host","ssp585_2071",1083535,52.33,17.25,-96.44,-123.23,47.44,34.6,-105.67,-119.73,778838,396994,304697,14,148,-7,0,NA,18.4208,NA
"Papilio palamedes","total insect","current",258723,37.35,25.31,-75.48,-97.19,31,30.15,-80.23,-81.65,NA,NA,NA,NA,NA,NA,NA,58.209,NA,NA
"Papilio palamedes","total insect","ssp245_2041",461822,41.65,23.19,-73.31,-100.19,35.56,30.1,-77.79,-94.21,315801,112702,146021,287,0,-4,-666,70.6047,NA,NA
"Papilio palamedes","total insect","ssp245_2071",487140,41.63,23.33,-73.48,-99.6,36.04,30.31,-77.4,-84.19,346001,117584,141139,338,0,-4,-573,73.8051,NA,NA
"Papilio palamedes","total insect","ssp370_2041",442383,41.58,23.23,-73.52,-99.6,35.94,30.27,-77.31,-94.6,306486,122825,135897,310,0,-4,-1231,74.2827,NA,NA
"Papilio palamedes","total insect","ssp370_2071",427803,41.31,29.08,-74.31,-95.62,34.65,30.4,-76.44,-82.46,312409,143328,115395,416,0,-4,-417,76.7919,NA,NA
"Papilio palamedes","total insect","ssp585_2041",468685,41.65,23.25,-73.48,-99.56,34.58,30.31,-77.27,-83.56,330476,120513,138210,263,0,-4,-485,77.5544,NA,NA
"Papilio palamedes","total insect","ssp585_2071",343631,41.52,29.08,-74.35,-95.44,33.98,30.44,-76.4,-81.67,246715,161807,96916,342,5,-6,-49,61.4487,NA,NA
"Papilio palamedes","insect + host","current",150600,37.35,25.31,-75.69,-97.19,30.56,30.23,-80.27,-81.52,NA,NA,NA,NA,NA,NA,NA,NA,96.5033,NA
"Papilio palamedes","insect + host","ssp245_2041",326068,41.65,26.62,-73.31,-95.69,31.15,30.31,-76.52,-81.31,277596,102129,48471,74,5,-4,-222,NA,99.1753,NA
"Papilio palamedes","insect + host","ssp245_2071",359534,41.52,26.69,-73.54,-95.62,31.02,30.35,-76.71,-81.71,315777,106843,43757,79,5,-4,-217,NA,99.3205,NA
"Papilio palamedes","insect + host","ssp370_2041",328614,41.58,28.9,-73.52,-95.58,31.19,30.35,-76.54,-81.56,285043,107029,43571,74,5,-4,-231,NA,99.6713,NA
"Papilio palamedes","insect + host","ssp370_2071",328518,41.31,29.08,-74.31,-94.4,30.81,30.4,-76.44,-81.52,288049,110131,40469,296,5,-4,-52,NA,99.5687,NA
"Papilio palamedes","insect + host","ssp585_2041",363487,41.63,28.87,-73.52,-95.6,31.02,30.31,-76.65,-81.56,317414,104528,46072,74,5,-4,-225,NA,99.3042,NA
"Papilio palamedes","insect + host","ssp585_2071",211156,41.52,29.08,-74.35,-93.77,30.9,30.42,-76.4,-80.94,183118,122562,28038,356,5,-4,-4,NA,99.6131,NA
"Papilio polyxenes","total insect","current",1678904,49.85,18.83,-61.21,-115.75,44.73,32.38,-75.98,-97.35,NA,NA,NA,NA,NA,NA,NA,97.7788,NA,NA
"Papilio polyxenes","total insect","ssp245_2041",432420,49.75,17.13,-54.83,-106.4,44.73,38.98,-89.23,-96.77,147849,1394333,284571,-49,846,-1082,101,95.1131,NA,NA
"Papilio polyxenes","total insect","ssp245_2071",482593,50.04,17.25,-55.12,-114.06,45.27,39.69,-88.17,-96.9,208514,1404825,274079,14,841,-1042,66,95.3663,NA,NA
"Papilio polyxenes","total insect","ssp370_2041",473366,49.98,17.13,-54.92,-111.02,44.94,39.06,-86.85,-96.69,178820,1384358,294546,-16,776,-883,80,94.8592,NA,NA
"Papilio polyxenes","total insect","ssp370_2071",710857,50.92,16.81,-54.79,-111.98,46.77,39.56,-83.46,-95.77,330509,1298557,380348,181,907,-906,26,97.2822,NA,NA
"Papilio polyxenes","total insect","ssp585_2041",469436,49.69,17.25,-55.06,-110.94,45.06,39.27,-88.4,-96.69,184465,1393934,284970,-5,874,-1176,95,94.3745,NA,NA
"Papilio polyxenes","total insect","ssp585_2071",779472,51.94,18.85,-54.85,-111.88,48.06,39.81,-81.35,-95.52,418851,1318284,360621,278,955,-967,18,94.5518,NA,NA
"Papilio polyxenes","insect + host","current",1641613,49.85,18.83,-61.21,-115.75,44.73,32.38,-75.98,-97.35,NA,NA,NA,NA,NA,NA,NA,NA,4.4683,NA
"Papilio polyxenes","insect + host","ssp245_2041",411288,49.75,17.19,-54.83,-106.4,44.75,38.98,-89.19,-96.48,147141,1377467,264147,-60,846,-1089,109,NA,2.5119,NA
